sentiment,content
3,"Also difficult to put on.I'd recommend avoiding this product.
"
3,"I only used it two days, and it wasn't always easy to hear with.
"
3,"I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.
"
1,"Sprint - terrible customer service.
"
2,"Linked to my phone without effort.
"
2,"THey are so cool!
"
0,"Easy to use.
"
0,"Better Than New.
"
3,"What possesed me to get this junk, I have no idea...
"
1,"Piece of trash.
"
2,"a pretty good product.
"
0,"This is a great phone!.
"
0,"For the price on Amazon, it is an excellent product, which I would highly recommend.
"
2,"Their Research and Development division obviously knows what they're doing.
"
2,"The real killer is the volume, and of course it breaking.
"
0,"Those phones are working just fine now.
"
0,"I am more than happy with this product.
"
1,"Poor Construction.
"
3,"This is infuriating.
"
2,"Overall, I would recommend this phone over the new Walkman.
"
1,"Sprint charges for this service.
"
3,"It is cheap, and it feel and look just as cheap.
"
3,"It fits my ear well and is comfortable on.
"
1,"It doesn't work in Europe or Asia.
"
3,"clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.
"
0,"I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.
"
2,"I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.
"
3,"the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.
"
3,"the charger worked for about a week and then completely stopped charging my phone.
"
1,"Poor product.
"
2,"However I needed some better instructions.
"
3,"You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.
"
0,"Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).
"
3,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.
"
3,"DO NOT BUY DO NOT BUYIT SUCKS
"
2,"This is a great product..... sure beats using your fingers!.
"
3,"Plus, I seriously do not believe it is worth its steep price point.
"
3,"All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.
"
3,"Very Dissapointing Performance.
"
1,"Don't make the same mistake that I did and please don't buy this phone.
"
3,"This phone might well be the worst I've ever had in any brand.
"
1,"Case was more or less an extra that I originally put on but later discarded because it scratched my ear.
"
3,"I recommend iGo to anyone with different brand cell phones/mp3 players in the family.
"
2,"Don't bother - go to the store.
"
3,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!
"
0,"I did not have any problem with this item and would order it again if needed.
"
2,"You get what you pay for I guess.
"
2,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.
"
2,"im surprised this is a good quality car charger and there's not much reviews about it.
"
0,"These are fabulous!
"
3,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.
"
0,"I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.
"
1,"Disappointing accessory from a good manufacturer.
"
3,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.
"
2,"Very wind-resistant.
"
3,"Obviously they have a terrible customer service, so you get what you pay for.
"
0,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.
"
1,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.
"
3,"Linksys should have some way to exchange a bad phone for a refurb unit or something!
"
3,"Phone is sturdy as all nokia bar phones are.
"
0,"Great phone.
"
2,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.
"
2,"I'm pleased.
"
1,"Battery is terrible.
"
0,"I found the product to be easy to set up and use.
"
3,"The earpiece on this is too large or too heavy...it keeps falling out of my ear.
"
3,"Utter crap.. Sound quality is TERRIBLE.
"
1,"The charger arrived within the promised timeframe, but it did not work.
"
0,"No ear loop needed, it's tiny and the sound is great.
"
3,"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.
"
1,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.
"
1,"Talk about USELESS customer service.
"
2,"It felt too light and tinny.
"
3,"This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.
"
0,"I'm happy about this purchase- good quality and low price.
"
2,"I love the look and feel of Samsung flipphones.
"
2,"Its well-designed and very sharp -- the blue is a very nice color.
"
0,"Does everything it should and more.
"
1,"I could not recommend these more.
"
0,"Nice Sound.
"
3,"Looks good in the picture, but this case was a huge disappointment!!
"
3,"Much less than the jawbone I was going to replace it with.
"
0,"Setup went very smoothly.
"
3,"its extremely slow and takes forever to do anything with it.
"
3,"A must study for anyone interested in the worst sins of industrial design.
"
1,"The first thing that happened was that the tracking was off.
"
2,"It is well made, easy to access the phone and has a handy, detachable belt clip.
"
3,"Then I had to continue pairing it periodically since it somehow kept dropping.
"
1,"Can't upload ringtones from a third party.
"
3,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.
"
1,"Truly awful.
"
0,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.
"
0,"The volume for the ringer is REAL good (you have choices how loud).
"
0,"And none of the tones is acceptable.
"
1,"camera color balance is AWFUL.
"
3,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.
"
0,"I love the ringtones because they are so upbeat!
"
2,"Chinese Forgeries Abound!.
"
0,"Easy to pair with my Samsung Cell.
"
3,"The instructions didn't explain that a microphone jack could be used.
"
3,"i would advise to not purchase this item it never worked very well.
"
3,"Too bad you have to pay up to $$$ a month for the service!
"
0,"Works well.
"
1,"The nokia CA-42 USB cable did not work with my phone.
"
0,"Clear crisp sound.
"
1,"I have to use the smallest earpieces provided, but it stays on pretty well.
"
3,"the biggest complaint I have is, the battery drains superfast.
"
1,"The design might be ergonomic in theory but I could not stand having these in my ear.
"
1,"Do NOT buy if you want to use the holster.
"
0,"The phone can also take great pictures and even video clips.
"
1,"It doesn't make you look cool.
"
2,"Because both ears are occupied, background is not distracting at all.
"
3,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.
"
3,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.
"
2,"You can't beat the price on these.
"
2,"Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!
"
2,"lightweight and works well.
"
1,"So just beware.
"
0,"I love this cable - it allows me to connect any mini-USB device to my PC.
"
3,"So anyone near you will hear part of your conversation.
"
2,"This is cool because most cases are just open there allowing the screen to get all scratched up.
"
3,"I bought this phone as a replacement for my StarTac and have regretted it since.
"
0,"Appears to actually outperform the original battery from China that came with my V325i.
"
3,"Can't store anything but phone numbers to SIM.
"
1,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.
"
1,"Poor quality.
"
0,"jabra ear gels R the best!.
"
1,"Not worth it.
"
3,"The phone crashed completely and now I have to get it replaced.
"
3,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.
"
3,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).
"
2,"It was a great phone.
"
3,"if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.
"
2,"Good value, works fine - power via USB, car, or wall outlet.
"
2,"My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.
"
0,"This is simply the BEST bluetooth headset for sound quality!
"
3,"Think it over when you plan to own this one!This sure is the last MOTO phone for me!
"
0,"In the span of an hour, I had two people exclaim Whoa - is that the new phone on TV?!?
"
0,"I have always used corded headsets and the freedom from the wireless is very helpful.
"
2,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.
"
2,"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.
"
0,"It has everything I need and I couldn't ask for more.
"
1,"After receiving and using the product for just 2 days it broke.
"
2,"This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.
"
3,"None of the three sizes they sent with the headset would stay in my ears.
"
0,"T-Mobile has the best customer service anywhere.
"
2,"Arrived quickly and much less expensive than others being sold.
"
3,"we have tried 2 units and they both failed within 2 months.. Pros
"
2,"Provides good protection and looks classy, too.
"
0,"Krussel Always good.
"
2,"The tracfonewebsite is user friendly and makes it easy to activate, etc.
"
0,"The design is very good.4.
"
0,"I great reception all the time.
"
0,"I would highly recommend this product.
"
1,"Couldn't use the unit with sunglasses, not good in Texas!
"
1,"It did not work most of the time with my Nokia 5320.
"
3,"Bought mainly for the charger, which broke soon after purchasing.
"
2,"If you like a loud buzzing to override all your conversations, then this phone is for you!
"
2,"Fantastic buy and will get again for whatever my next phone is
"
3,"stay away from this store, be careful.
"
0,"This BlueAnt Supertooth hands-free phone speaker is AWESOME.
"
1,"Does not fit.
"
0,"Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.
"
2,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.
"
1,"disappointing.
"
0,"Blue Ant is easy to use.
"
2,"Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.
"
3,"The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.
"
3,"Then a few days later the a puff of smoke came out of the phone while in use.
"
2,"It's very convenient and simple to use - gets job done & makes the car ride so much smoother.
"
1,"The nano stated it.My son was dissapointed.
"
0,"The sound quality is excellent as well.
"
0,"Its the best headset I have used.
"
1,"Would not reccommend.
"
0,"They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.
"
0,"Just what I wanted.
"
3,"This particular model would not work with my Motorola Q smartphone.
"
1,"wont work right or atleast for me.
"
1,"in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.
"
3,"But now that it is out of warranty the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.
"
3,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good
"
0,"Great product.
"
0,"Crisp and Clear.
"
3,"AFter the first charge kept going dead after 12 minutes.
"
1,"VERY cheap plastic, creaks like an old wooden floor.
"
3,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.
"
0,"The reception has been generally good.
"
0,"Excellent sound, battery life and inconspicuous to boot!.
"
0,"Great bluetooth!.
"
2,"I highly recommend this case.
"
0,"WORTHWHILE.
"
0,"This is a great deal.
"
3,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.
"
3,"I am sorry I made this purchase.
"
3,"I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.
"
3,"Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.
"
1,"It was horrible!.
"
1,"I don't think it would hold it too securly on your belt.
"
2,"This allows the possibility of double booking for the same date and time after the first.
"
3,"They work about 2 weeks then break.
"
2,"It is simple to use and I like it.
"
2,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!
"
3,"I can't use this case because the smell is disgusting.
"
1,"NOT WHAT I WANTED.
"
0,"I own 2 of these cases and would order another.
"
0,"Great Phone.
"
0,"I bought this battery with a coupon from Amazon and I'm very happy with my purchase.
"
0,"The internet access was fine, it the rare instance that it worked.
"
0,"Perfect for the PS3.
"
3,"Five star Plus, plus.
"
3,"A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.
"
1,"50 Down the drain.
"
3,"I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.
"
0,"Good , works fine.
"
2,"For the price this was a great deal.
"
2,"Great price, too!
"
3,"If there is a wind, it is completely useless.
"
0,"Yes it's shiny on front side - and I love it!
"
1,"Does Not Work.
"
3,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).
"
0,"The reception through this headset is excellent.
"
2,"2 thumbs up to this seller
"
2,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.
"
3,"Improper description.... I had to return it.
"
2,"It Works It is Comfortable.
"
0,"Battery charge-life is quite long.
"
2,"The Jabra EarGels fit my ears very well.
"
3,"Battery has no life.
"
1,"I checked everywhere and there is no feature for it which is really disappointing.
"
0,"Product is exactly as described.
"
2,"Gets a signal when other Verizon phones won't.
"
1,"Doesn't do the job.
"
0,"I would recommend it.
"
0,"Plan on ordering from them again and again.
"
2,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.
"
0,"I have been very satisfied with this cell phone from day one.
"
0,"They keep getting better and better (this is my third one and I've had numerous Palms too).
"
1,"Awkward to use and unreliable.
"
0,"The shipping time was also very quick!
"
1,"Not as good as I had hoped.
"
1,"Good case!.
"
1,"Doesn't Work.
"
0,"Really good product.
"
1,"Unfortunately it did not work.
"
1,"All three broke within two months of use.
"
1,"dont buy it.
"
3,"My father has the V265, and the battery is dying.
"
3,"However, the ear pads come off easily and after only one week I lost one.
"
1,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.
"
1,"Horrible, horrible protector.
"
1,"I don't like this Nokia either.
"
3,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.
"
3,"I have bought this Nokia cell phone a few weeks ago and it was a nightmare.
"
3,"It would take too long to describe how bad my customer service experience has been with Amazon.
"
1,"the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!
"
3,"Terrible.. My car will not accept this cassette.
"
1,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.
"
1,"It's not what it says it is.
"
1,"Stay Away From the Q!.
"
1,"Used and dirty.
"
1,"Very unreliable service from T-mobile !
"
1,"Not good enough for the price.
"
1,"I bought two of them and neither will charge.
"
0,"It looks very nice.
"
0,"This is an excellent tool, especially when paired with your phone's auto-answer.
"
2,"I have read other's reviews here but I haven't had any problem with it.
"
2,"These products cover up the important light sensor above the ear outlet.
"
2,"Comfortable in my hand.
"
1,"Just does not work.
"
1,"Poor Reliability.
"
1,"It works!
"
1,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.
"
3,"Terrible product, and waste of money!
"
0,"Last time buying from you.
"
3,"It was a waste of my money.
"
2,"So far it has worked like a charm.
"
2,"I have only had it for a few weeks, but so far, so good.
"
2,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.
"
0,"Would recommend this item.
"
2,"It's been my choice headset for years.Great sound; good volume; good noise cancellation.
"
0,"Nice case, feels good in your hands.
"
3,"The item received was Counterfeit.
"
0,"Just really good.. So far, probably the best BT headset I have ever had.
"
0,"Works fine.
"
0,"I received my headset in good time and was happy with it.
"
2,"I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.
"
0,"My sister has one also and she loves it.
"
0,"Good Quality.
"
1,"This is by far the worst purchase I've made on Amazon.
"
2,"Excellent dual-purpose headset.
"
2,"Excellent!.
"
3,"Does not work for listening to music with the cingular 8125.
"
2,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.
"
1,"The bottom line...another worthless, cheap gimmick from Sprint.
"
1,"Having trouble with volume.
"
2,"The only good thing was that it fits comfortably on small ears.
"
3,"WARNING - DO NOT BUY!!.
"
3,"I am pairing this with my iphone, and I could not be happier with it so far.
"
3,"When it opens, the battery connection is broken and the device is turned off.
"
3,"I didn't want the clip going over the top of my ear, causing discomfort.
"
0,"Best headset ever!!!.
"
1,"Don't trust their website and don't expect any helpful support.
"
0,"It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.
"
3,"The speaker is of low quality so as making the ring tones sound very cheap.
"
0,"Fits comfortably, came with three sizes of earbud tips.
"
0,"Excellent product for the price.
"
1,"Bad Reception.
"
0,"This product is very High quality Chinese CRAP!!!!!!
"
2,"It was quite comfortable in the ear.
"
0,"Great phone.
"
1,"Don't buy this product - It fails!.
"
1,"Everything about this product is wrong.First
"
0,"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.
"
3,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.
"
0,"Terrible phone holder.
"
0,"The cutouts and buttons are placed perfectly.
"
2,"I love being able to use one headset for both by land-line and cell.
"
1,"Problem is that the ear loops are made of weak material and break easily.
"
1,"Not nearly as good looking as the AMAZON picture makes it look.
"
2,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.
"
1,"How stupid is that?
"
0,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.
"
0,"Seller shipped quickly and much cheaper than the competitors.
"
0,"Good show, Samsung.
"
0,"So I bought about 10 of these and saved alot of money.
"
1,"It always cuts out and makes a beep beep beep sound then says signal failed.
"
1,"Couldn't figure it out
"
3,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.
"
3,"So I had to take the battery out of the phone put it all back together and then restart it.
"
3,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.
"
0,"Leopard Print is wonderfully wild!.
"
0,"Works for me.
"
1,"Saggy, floppy piece of junk.
"
0,"much better than the hard plastic cases.
"
3,"It also had a new problem.
"
0,"Happy so far!.
"
0,"cool phone.
"
0,"Works good.
"
0,"Motorola finally got the voice quality of a bluetooth headset right.
"
3,"It looses connection to the phone even when it is within a couple feet between the two.
"
2,"but it is great, i would really recommend it
"
2,"Makes it easier to keep up with my bluetooth when I'm not wearing it.
"
1,"As I said above....PRETTY USELESS!
"
1,"Never got it!!!!!
"
1,"This pair of headphones is the worst that I have ever had sound-wise.
"
3,"down the drain because of a weak snap!
"
1,"Does not charge the Cingular (ATT) 8525 phone.
"
1,"You get extra minutes so that you can carry out the call and not get cut off.
"
3,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.
"
3,"I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.
"
0,"The headset fulfills my requirements so I am happy with my purchase.
"
0,"Logitech Bluetooth Headset is a 10!.
"
2,"I like the fact that it rests lightly against your ear, rather than inside.
"
2,"A lot of websites have been rating this a very good phone and so do I.
"
0,"I have tried these cables with my computer and my iPod and it works just fine.
"
1,"The mic there is a joke, and the volume is quite low.
"
1,"I'm returning them.
"
2,"I does not maintain a connection with the computer while it is on my lap.
"
3,"It is easy to turn on and off when you are in the car and the volume controls are quite accessable.
"
2,"I have had mine for about a year and this Christmas I bought some for the rest of the family.
"
0,"Otherwise, easy to install and use, clear sound.
"
0,"nice leather.
"
2,"I had to purchase a different case.
"
0,"It is a joy to use.
"
1,"Very much disappointed with this company.
"
0,"Very satisifed with that.
"
1,"It didn't charge for me.
"
2,"This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!
"
1,"Buttons are too small.
"
0,"Just reading on the specs alone makes you say WOW.
"
0,"Love it.. Great armband.
"
0,"I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.
"
1,"However, the keypads are so tinny that I sometimes reach the wrong buttons.
"
0,"I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.
"
3,"I was very impressed with the price of the cases.
"
0,"Also makes it easier to hold on to.
"
3,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!
"
0,"It's pretty easy.
"
0,"I cannot make calls at certain places.
"
3,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.
"
0,"Beautiful styling though.
"
1,"This company charge me a restocking fee and still not given me my refund back.
"
3,"I'm trying to return it for a refund.
"
1,"I plugged it in only to find out not a darn thing worked.
"
0,"Excellent product.
"
3,"Earbud piece breaks easily.
"
1,"Lousy product.
"
3,"this phone tries very hard to do everything but fails at it's very ability to be a phone.
"
0,"It is the best charger I have seen on the market yet.
"
0,"SWEETEST PHONE!!!
"
2,"Oh, the charger seems to work fine.
"
2,"It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.
"
1,"Not enough volume.
"
1,"Echo Problem....Very unsatisfactory
"
1,"you could only take 2 videos at a time and the quality was very poor.
"
3,"don't waste your money.
"
1,"I am going to have to be the first to negatively review this product.
"
3,"Adapter does not provide enough charging current.
"
3,"There was so much hype over this phone that I assumed it was the best, my mistake.
"
3,"You also cannot take pictures with it in the case because the lense is covered.
"
1,"Phone falls out easily.
"
1,"It didn't work, people can not hear me when I talk.
"
3,"The text messaging feature is really tricky to use.
"
3,"I'm really disappointed all I have now is a charger that doesn't work.
"
1,"Painful on the ear.
"
1,"Lasted one day and then blew up.
"
1,"disappointed.
"
1,"Kind of flops around.
"
3,"The screen does get smudged easily because it touches your ear and face.
"
3,"What a piece of junk.. I lose more calls on this phone.
"
1,"Item Does Not Match Picture.
"
1,"The only thing that disappoint me is the infra red port (irda).
"
1,"You can not answer calls with the unit, never worked once!
"
